ID,書名,著者・編者,出版社,分類,現在の棚,提案配置,確度,備考
A-01,よくわかる 自己株式の実務処理Q&A〔第5版〕,有田賢臣・金子登志雄・高橋昭彦,中央経済社,株式,棚A,棚A（株式）,◎,
A-02,「株式交付」活用の手引き,金子登志雄 編著,中央経済社,株式,棚A,棚A（株式）,○,
A-03,株式交換・株式移転の理論・実務と書式〔第2版〕,編集代表 土岐敦司 ほか,民事法研究会,株式・組織再編,棚A,棚A（株式）,○,編者名要確認
A-04,親子兄弟会社の組織再編の実務〔第3版〕,金子登志雄,中央経済社,組織再編,棚A,棚A（組織再編）,◎,
A-05,商業登記全書 第7巻 組織再編の手続 ―法務企画から登記まで〔第3版〕,神﨑満治郎 編集代表／金子登志雄 著,中央経済社,組織再編・商業登記,棚A,棚A（組織再編）,◎,
A-06,組織再編税制の失敗事例,佐藤信祐,中央経済社,組織再編・税務,棚A,棚A（組織再編）,◎,
A-07,中小企業の戦略的会社法務と登記,今川嘉文,中央経済社,会社法務,棚A,棚A（会社法務）,◎,
A-08,会社法の重要問題と実務対応,新谷勝,民事法研究会,会社法務,棚A,棚A（会社法務）,◎,
A-09,家族・親族経営会社のための相談対応実務必携,山浦美紀 ほか,民事法研究会,会社法務・承継,棚A,棚A（会社法務）,○,
A-10,ケース別 商業登記添付書面 ―必要となる書類と実務のポイント,立花宏 編著,新日本法規,商業登記,棚A,棚A（商業登記）,○,
A-11,一般社団法人・財団法人制度と登記の実務,吉岡誠一,,一般法人,棚A,棚C（一般法人）へ移動,○,
A-12,（黒背）デジタル◯◯,,,不明,棚A,現物確認後に決定,△,書名冒頭のみ判読
A-13,（緑背）手にとるよ◯◯,,,不明,棚A,現物確認後に決定,△,書名冒頭のみ判読
A-14,（白背）Q&A ◯◯,,,不明,棚A,現物確認後に決定,△,書名冒頭のみ判読
A-15,（白背・赤字）SI◯◯,,,不明,棚A,現物確認後に決定,△,一筆箋の陰で判読不能
A-16,右端の数冊（ピンク・白系）,,,不明,棚A,現物確認後に決定,✕,見切れ
B-01,法律実務家のためのインプット・アウトプット術,松尾剛行,弘文堂,AI×法律実務,棚B,棚B（AI×法務）,◎,副題: AIに仕事を奪われない弁護士・法務担当者になる！
B-02,あらゆる仕事が爆速化する Claude Code徹底活用術,ひつじ・染谷昌利,,AI活用,棚B,棚B（AI×法務）,◎,
B-03,AIと法 実務大全,柿沼太一・杉浦健二,日本加除出版,AI法務,棚B,棚B（AI×法務）,◎,
B-04,会社議事録・契約書・登記添付書面のデジタル作成実務Q&A ―電子署名・クラウドサインの活用法,土井万二 編集代表,日本加除出版,デジタル法務,棚B,棚B（デジタル法務）,◎,
B-05,デジタル時代の契約書作成と締結実務,吉川達夫・高仲幸雄・飯田浩司 編著,中央経済社,デジタル法務,棚B,棚B（デジタル法務）,◎,
B-06,士業の生成AI入門（KINZAIバリュー叢書L）,BAMBOO INCUBATOR,金融財政事情研究会,生成AI活用,棚B,棚B（AI×法務）,◎,
B-07,システム開発と「具体と抽象」,細谷功,技術評論社,思考法,棚B,棚B（思考法）,◎,
B-08,これならできる！税理士のための生成AI活用アイディア23選,大野修平,,生成AI活用,棚B,棚B（AI×法務）,◎,
B-09,（白背・ほぼ隠れて判読不能）,今井◯◯み?,,不明,棚B,現物確認後に決定,△,
B-10,数値化の鬼,安藤広大,ダイヤモンド社,思考法,棚B,棚B（思考法）,◎,
B-11,今からでもすぐできる！弁護士メンタルヘルスケアの心得 ―メンタルお悩み事例から学ぶセルフケア実践法,三浦光太郎 編著,,士業経営・セルフケア,棚B,棚B（事務所経営）,○,書名要確認
B-12,工夫次第でここまで出来る！弁護士ミニマム経営のポイント,北周士 編,,士業経営,棚B,棚B（事務所経営）,○,
B-13,【雑誌】金融法務事情 No.2235,,金融財政事情研究会,雑誌,棚B,雑誌ボックスへ,○,特集: 公正証書手続のデジタル化
C-01,（左端・見切れ1冊）,,,不明,棚C,現物確認後に決定,✕,
C-02,相続登記の全実務 ―相続・遺贈と家事・非訟手続〔三訂版〕,,清文社?,相続・登記,棚C,棚C（相続）,○,著者判読不能
C-03,全訂 設問解説 相続法と登記,幸良秋夫,日本加除出版,相続・登記,棚C,棚C（相続）,◎,
C-04,新訂 設問解説 判決による登記,幸良秋夫,日本加除出版,不動産登記,棚C,棚C（相続）,◎,
C-05,民法でみる法律学習法 ―知識を整理するためのロジカルシンキング〔第2版〕,金井高志,日本評論社,学習法,棚C,棚B（思考法）へ移動,◎,
C-06,「一般社団法人」をもっと知ろう！もっと活用しよう！（小冊子）,,,一般法人,棚C,棚C（一般法人）,○,
C-07,【雑誌】月報司法書士 2026年1月号（No.647）,,日本司法書士会連合会,雑誌,棚C,雑誌ボックスへ,◎,特集: 一般社団法人
C-08,社団法人・財団法人の登記と書式〔第3版〕,大貫正男・久我祐司 編著,民事法研究会,一般法人,棚C,棚C（一般法人）,○,編者名要確認
C-09,事例にみる 一般社団法人活用の実務 ―法務・会計・税務・登記〔第2版補訂版〕,後藤孝典・野入美和子・SUパートナーズ税理士法人,日本加除出版,一般法人,棚C,棚C（一般法人）,○,著者表記要確認
C-10,公益法人・一般法人の登記 ―社団法人・財団法人の手続き完全ガイド〔新訂2版〕,伊藤◯◯（司法書士）,,一般法人,棚C,棚C（一般法人）,○,書式データ付。著者名の一部判読不能
C-11,改訂増補 実践 一般社団法人・信託活用ハンドブック,白井一馬 ほか,清文社?,一般法人・信託,棚C,棚C（一般法人）,○,副題: 相続贈与・資産管理・事業承継対策に役立つ！
C-12,Web3ビジネスの法務,GVA法律事務所（熊谷直弥・山地洋平?）,,Web3・DAO,棚C,棚D（Web3・DAO）へ移動,○,
C-13,DAO ―「分散型自律組織」の基本,,,Web3・DAO,棚C,棚D（Web3・DAO）へ移動,△,水色・大判。副題一部判読不能
C-14,図解と事例でわかる◯◯（60分で身につくビジネス教養）,,,Web3・DAO,棚C,棚D（Web3・DAO）へ移動,△,Web3関連
C-15,Web3と◯◯,,,Web3・DAO,棚C,棚D（Web3・DAO）へ移動,△,C-16と同一の1冊の可能性あり
C-16,◯◯の仕組みと法律,,,Web3・DAO,棚C,棚D（Web3・DAO）へ移動,△,C-15と同一の1冊の可能性あり
C-17,（裏向き・大型）一般社団法人・一般財団法人法の逐条解説書とみられる,,,一般法人,棚C,棚C（一般法人・表向きに直す）,✕,裏表紙の主要目次のみ視認
D-01,（見切れ）合同会社の設立手続◯◯,,,合同会社,棚D,棚D（合同会社）,△,
D-02,（見切れ）◯◯の税務,佐藤信祐,,税務,棚D,書名確認後に決定,△,組織再編税務なら棚Aへ
D-03,５つの定款モデルで自由自在 合同会社の設立＆運営 完全ガイド,,,合同会社,棚D,棚D（合同会社）,○,
D-04,DAOの実務 ―設計・法務・税務◯◯,PwC Japanグループ?,,Web3・DAO,棚D,棚D（Web3・DAO）,△,副題一部判読不能
D-05,事例解説 合同会社の◯◯,神﨑満治郎?,,合同会社,棚D,棚D（合同会社）,△,D-05〜D-07は対応関係要確認
D-06,合同会社の登記◯◯,泉水悟?,,合同会社,棚D,棚D（合同会社）,△,D-05〜D-07は対応関係要確認
D-07,合同会社の法と実務,森本滋 編,商事法務,合同会社,棚D,棚D（合同会社）,○,
D-08,商業登記実務から見た 合同会社の運営と理論〔第3版〕,立花宏 著（金子登志雄 監修）,中央経済社,合同会社,棚D,棚D（合同会社）,○,
D-09,商業登記実務から見た 合同会社の運営と理論〔第2版〕,立花宏 著（金子登志雄 監修）,中央経済社,合同会社,棚D,最下段または保管箱（旧版）,○,第3版D-08が現役
D-10,詳解 合同会社の法務と税務,安部慶彦,中央経済社?,合同会社,棚D,棚D（合同会社）,○,
D-11,親族外事業承継と株主間契約の税務,後藤孝典?,,承継・株主間契約,棚D,出口棚（承継）へ移動,○,
D-12,会社・株主間契約の理論と実務 ―合弁事業・資本提携・スタートアップ投資,田中亘・森・濱田松本法律事務所 編著,有斐閣,承継・株主間契約,棚D,出口棚（承継）へ移動,◎,
D-13,株主間契約と従業員事業承継,後藤孝典 編著,,承継・株主間契約,棚D,出口棚（承継）へ移動,○,
D-14,休眠会社・休眠法人をめぐる法律実務,尾島史賢 編?,新日本法規?,清算・休眠,棚D,出口棚（清算）へ移動,○,
D-15,実務対応 株式会社の清算手続における疑問点 ―解散・通常清算を円滑に進めるために,杉山直 編?,新日本法規?,清算・休眠,棚D,出口棚（清算）へ移動,○,
D-16,（黄・褪色で判読不能）,,,清算・休眠?,棚D,現物確認後に決定,✕,
D-17,株式会社・各種法人別 清算手続マニュアル,尾島史賢 編集代表,新日本法規,清算・休眠,棚D,出口棚（清算）へ移動,◎,
D-18,「解散・清算の実務」完全解説〔第3版?〕,太田達也,税務研究会出版局?,清算・休眠,棚D,出口棚（清算）へ移動,○,
D-19,Q&A ◯◯（投資事業有限責任組合関連とみられる）,,,ファンド・組合,棚D,棚D（ファンド）,△,
D-20,LPS法／LLP法,,,ファンド・組合,棚D,棚D（ファンド）,△,
D-21,ディープテック・スタートアップの知財・契約戦略,,,スタートアップ・知財,棚D,棚D（ファンド）,○,書名末尾要確認
D-22,会社法実務スケジュール,,,会社法務,棚D,棚A（商業登記）へ移動,○,版数判読不能
